frequency,s11
150120240.48096222 0.0,-0.7614762907140973 0.6479496931852974
150501002.00400832 0.0,-0.7536944119624458 0.6569891966843596
150881763.52705443 0.0,-0.7459169300197321 0.6658102496889208
151262525.05010054 0.0,-0.7381462150807583 0.6744189618963025
151643286.57314664 0.0,-0.7303844810148301 0.6828212095675544
152024048.09619275 0.0,-0.7226337959208096 0.6910226476950397
152404809.61923885 0.0,-0.7148960918458314 0.6990287213504549
152785571.14228496 0.0,-0.7071731737458666 0.7068446762800727
153166332.66533107 0.0,-0.69946672775792 0.7144755688077453
153547094.18837717 0.0,-0.6917783288461996 0.721926275100614
153927855.71142328 0.0,-0.6841094478781107 0.7292014998474452
154308617.23446938 0.0,-0.6764614581801451 0.7363057843950008
154689378.7575155 0.0,-0.6688356416186798 0.74324351438378
155070140.2805616 0.0,-0.6612331942461576 0.7500189269208382
155450901.8036077 0.0,-0.6536552315491672 0.756636117324058
155831663.3266538 0.0,-0.646102793331354 0.7630990454693143
156212424.8496999 0.0,-0.6385768482609815 0.7694115417692452
156593186.37274602 0.0,-0.6310782981100714 0.775577312809964
156973947.89579213 0.0,-0.6236079817096433 0.7815999466697928
157354709.41883823 0.0,-0.616166678643203 0.7874829179421668
157735470.94188434 0.0,-0.6087551126987274 0.7932295924829986
158116232.46493044 0.0,-0.6013739550975115 0.7988432319011894
158496993.98797655 0.0,-0.5940238275166514 0.8043269978094723
158877755.51102266 0.0,-0.586705304920468 0.8096839558514088
159258517.03406876 0.0,-0.5794189182148785 0.8149170795191448
159639278.55711487 0.0,-0.5721651567375012 0.8200292537753855
160020040.08016098 0.0,-0.56494447059524 0.8250232784920449
160400801.60320708 0.0,-0.5577572728601163 0.8299018717170666
160781563.1262532 0.0,-0.550603941633216 0.8346676727800751
161162324.6492993 0.0,-0.5434848219858637 0.8393232452467169
161543086.1723454 0.0,-0.5364002277863651 0.8438710797308471
161923847.6953915 0.0,-0.5293504434200467 0.8483135965730427
162304609.2184376 0.0,-0.5223357254096882 0.8526531483933392
162685370.74148372 0.0,-0.5153563039429072 0.8568920225255129
163066132.26452982 0.0,-0.5084123843125758 0.8610324433397347
163446893.78757593 0.0,-0.5015041482758631 0.8650765744599519
163827655.31062204 0.0,-0.49463175533710885 0.86902652088191
164208416.83366814 0.0,-0.4877953439593313 0.8728843309973409
164589178.35671425 0.0,-0.4809950327088473 0.8766519985294776
164969939.87976035 0.0,-0.4742309213371292 0.8803314643847048
165350701.40280646 0.0,-0.46750309180377014 0.8839246184248462
165731462.92585257 0.0,-0.4608116092441208 0.8874333011643127
166112224.44889867 0.0,-0.45415652288493913 0.8908593053960464
166492985.97194478 0.0,-0.44753786691115166 0.8942043777499559
166873747.4949909 0.0,-0.4409556612866159 0.8974702201873188
167254509.018037 0.0,-0.4344099125315912 0.9006584914343964
167635270.5410831 0.0,-0.42790061445941663 0.9037708083583139
168016032.0641292 0.0,-0.4214277488747687 0.9068087472880835
168396793.5871753 0.0,-0.4149912862356804 0.9097738452834603
168777555.11022142 0.0,-0.4085911862813816 0.9126676013541761
169158316.63326752 0.0,-0.4022273986278876 0.9154914776319415
169539078.15631363 0.0,-0.3958998633331303 0.9182469004974653
169919839.67935973 0.0,-0.389608511433331 0.920935261664618
